_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NO_SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
5090,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,32,NO,,YES,DAVIS PROPERTY MANAGEMENT,PRIVATE,4154962,NO,NO,NO,50  RAGLAN AVE ,YES,UNAVAILABLE,12,SINGLE PANE,1928,2018
5091,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,2,0,1,7,61,YES,"Underground Garage , Surface Parking",YES,,PRIVATE,4154963,NO,YES,NO,40  RAGLAN AVE ,YES,FREE,12,SINGLE PANE,1960,2017
5092,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,4,4,2,16,307,YES,Surface Parking,YES,,TCHC,4155469,NO,NO,NO,340  ROYAL YORK RD ,YES,BOTH,3,DOUBLE PANE,1972,2017
5093,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,3,4,2,6,100,YES,Surface Parking,YES,,TCHC,4155471,NO,NO,NO,98  CAVELL AVE ,YES,BOTH,3,DOUBLE PANE,1992,2017
5094,NONE,,YES,NO,4 indoor parking spots and 4 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,1,2,8,132,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155478,NO,NO,NO,2335  LAKE SHORE BLVD W,YES,FREE,3,SINGLE PANE,1967,2017
5095,NONE,,NO,NO,0 indoor parking spots and 14 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,24,0,4,28,YES,"Ground Level Garage , Surface Parking",YES,AIDERBOOK MANAGEMENT INC.,PRIVATE,4155480,NO,YES,NO,2309  LAKE SHORE BLVD W,NO,UNAVAILABLE,3,SINGLE PANE,1954,2017
5096,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,12,0,3,12,NO,Surface Parking,NO,571051 ONTARIO LIMITED,PRIVATE,4155482,NO,YES,NO,51  STANLEY AVE ,NO,UNAVAILABLE,3,DOUBLE PANE,1951,2017
5097,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,3,0,3,31,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGMENT,TCHC,4155854,NO,NO,NO,3939  LAWRENCE AVE E,YES,PAID,24,SINGLE PANE,1970,2018
5098,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,NO,,11,0,3,16,NO,Surface Parking,YES,,PRIVATE,4155865,NO,NO,NO,50  GLEN EVEREST RD ,NO,UNAVAILABLE,20,SINGLE PANE,1952,2018
5099,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,2,5,3,21,326,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGMENT,TCHC,4155873,NO,NO,NO,5  BELLEVUE CRES ,YES,PAID,5,SINGLE PANE,1971,2017
5100,CENTRAL AIR,"Indoor pool , Sauna",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0,2,3,17,233,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,PARK PROPERTY MANAGEMENT INC.,PRIVATE,4155880,NO,YES,NO,63  WIDDICOMBE HILL BLVD ,YES,FREE,2,DOUBLE PANE,1974,2017
5101,NONE,Child play area,YES,NO,0 indoor parking spots and 30 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,3,2,19,265,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,RANEE MANAGEMENT,PRIVATE,4156031,NO,YES,NO,165  BARRINGTON AVE ,YES,BOTH,19,DOUBLE PANE,1965,2017
5102,CENTRAL AIR,Indoor recreation room,YES,YES,30 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,NO,5,0,1,3,80,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4156036,NO,YES,NO,17  RENWICK CRES ,YES,FREE,14,DOUBLE PANE,1996,2017
5103,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,3,0,1,6,69,NO,"Ground Level Garage , Surface Parking",YES,PARKWOODS MANAGEMENT,PRIVATE,4152664,NO,NO,NO,2275  VICTORIA PARK AVE ,NO,FREE,21,DOUBLE PANE,1962,2017
5104,NONE,Child play area,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,11,1,4,49,NO,Surface Parking,YES,BROSKO PROPERTY MANAGEMENT ,PRIVATE,4152672,NO,YES,NO,712  KENNEDY RD ,YES,FREE,20,DOUBLE PANE,1957,2017
5105,NONE,,YES,YES,0 indoor parking spots and 5 outdoor parking spots,YES,Recycling bins,YES,NO,ELECTRIC,YES,NO,YES,YES,NO,1,1,2,7,75,YES,"Ground Level Garage , Surface Parking",YES,CENTURY HOLDINGS LTD.,PRIVATE,4152684,NO,YES,NO,2323  EGLINTON AVE E,NO,FREE,20,THERMAL,1962,2017
5106,INDIVIDUAL UNITS,,NO,NO,Not Available,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0,0,2,18,275,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,AKELIUS CANADA LTD,PRIVATE,4153102,NO,YES,NO,730  ST CLARENS AVE ,YES,FREE,9,DOUBLE PANE,1974,2017
5107,INDIVIDUAL UNITS,Indoor recreation room,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,YES,NO,YES,YES,0,0,0,4,13,NO,Surface Parking,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153106,NO,NO,NO,223  OSLER ST ,YES,FREE,9,DOUBLE PANE,1992,2017
5108,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,0,3,17,260,,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4153571,NO,NO,NO,210  OAK ST ,YES,UNAVAILABLE,13,SINGLE PANE,1969,2018
5109,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,,0,4,20,YES,Surface Parking,YES,AKELIUS CANADA LTD,PRIVATE,4154079,NO,YES,NO,327  CHISHOLM AVE ,NO,UNAVAILABLE,19,DOUBLE PANE,1962,2018
5110,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,33,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4154097,NO,NO,NO,210  COSBURN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1968,2017
5111,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,11,0,3,11,NO,Surface Parking,YES,RAM-LAND PROPERTY MANAGEMENT,PRIVATE,4154588,NO,YES,NO,21  ROSSEAU RD ,NO,FREE,6,DOUBLE PANE,1955,2017
5112,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,13,0,3,13,NO,"Underground Garage , Ground Level Garage , Surface Parking",YES,,PRIVATE,4154606,NO,YES,NO,4234  BATHURST ST ,NO,UNAVAILABLE,6,DOUBLE PANE,1950,2017
5113,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,9,0,3,12,NO,"Ground Level Garage , Surface Parking",YES,SAROSSA INVESTMENTS INC,PRIVATE,4154615,NO,YES,NO,229  PANNAHILL RD ,NO,UNAVAILABLE,6,DOUBLE PANE,1950,2017
5114,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,NO,2,4,2,7,61,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,GREENWIN INC.,SOCIAL HOUSING,4154620,NO,NO,NO,15  TORRESDALE AVE ,YES,FREE,6,DOUBLE PANE,1994,2017
5115,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,11,,,,,PRIVATE,4154973,,,,8  PINEWOOD AVE ,,,12,SINGLE PANE,,
5116,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,29,NO,,YES,HOMES FIRST SOCIETY,SOCIAL HOUSING,4154974,NO,NO,NO,175  VAUGHAN RD ,YES,UNAVAILABLE,12,SINGLE PANE,1929,2017
5117,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,0,4,16,YES,,YES,,PRIVATE,4154975,NO,YES,NO,189  VAUGHAN RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1955,2017
5118,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0,9,0,3,24,NO,"Ground Level Garage , Surface Parking",NO,HIGH VALUE CONSULTANTS LTD,PRIVATE,4154985,NO,YES,NO,172  VAUGHAN RD ,NO,UNAVAILABLE,12,SINGLE PANE,1920,2017
5119,NONE,,NO,NO,20 indoor parking spots and 0 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,23,0,4,32,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,ASTROID MANAGEMENT LTD.,PRIVATE,4154991,NO,NO,NO,1600  BATHURST ST ,NO,FREE,12,DOUBLE PANE,1939,2017
5120,NONE,,NO,NO,0 indoor parking spots and 17 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,22,0,4,30,YES,Surface Parking,YES,KING GEORGE APTS.,PRIVATE,4155503,NO,YES,NO,2515  LAKE SHORE BLVD W,NO,UNAVAILABLE,3,DOUBLE PANE,1950,2017
5121,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,14,0,4,23,YES,Surface Parking,YES,,PRIVATE,4155515,NO,YES,NO,24  SECOND ST ,NO,UNAVAILABLE,3,DOUBLE PANE,1955,2017
5122,NONE,,YES,NO,7 indoor parking spots and 8 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,3,18,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4155518,NO,YES,NO,67  LAKE SHORE DR ,NO,UNAVAILABLE,3,DOUBLE PANE,1958,2017
5123,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,0,3,11,NO,Surface Parking,YES,ALTO PROPERTIES INC.,PRIVATE,4155519,NO,YES,NO,50  FOURTH ST ,NO,UNAVAILABLE,3,DOUBLE PANE,1958,2017
5124,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,8,0,3,23,NO,Surface Parking,YES,G MERULLA INC.,PRIVATE,4155527,NO,YES,NO,66  FIFTEENTH ST ,NO,UNAVAILABLE,3,DOUBLE PANE,1957,2017
5125,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,5,5,3,19,224,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,TCH,TCHC,4155913,NO,NO,NO,40  FALSTAFF AVE ,YES,PAID,5,SINGLE PANE,1970,2017
5126,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2,4,2,7,160,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155914,NO,NO,NO,3036  BATHURST ST ,YES,PAID,8,DOUBLE PANE,1992,2017
5127,NONE,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,8 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,NO,YES,YES,4,48,2,5,80,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,SOCIAL HOUSING,4156070,NO,NO,NO,2715  ISLINGTON AVE ,YES,FREE,1,DOUBLE PANE,1992,2017
5128,INDIVIDUAL UNITS,"Outdoor pool , Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,2 indoor parking spots and 1 outdoor parking spots,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,2,2,5,29,493,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4156446,NO,YES,NO,140  ERSKINE AVE ,YES,PAID,15,DOUBLE PANE,1972,2017
5129,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,3,6,3,16,217,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,TCH,TCHC,4156468,NO,NO,NO,10  GORDONRIDGE PL ,YES,PAID,20,SINGLE PANE,1972,2017
5130,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,0,0,,,,,,4520827,,,,20  ZACHARY CRT ,,,8,,,
5131,NONE,,NO,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,,,,3,12,NO,Ground Level Garage,NO,,PRIVATE,4479218,NO,NO,NO,45  PEMBROKE ST ,NO,,13,SINGLE PANE,1951,2018
5132,INDIVIDUAL UNITS,"Indoor pool , Sauna",NO,YES,Not Available,NO,Recycling bins,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,0,,4,28,457,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,CRECCAL INVESTMENTS LTD,PRIVATE,4365723,NO,NO,NO,2350  DUNDAS ST W,YES,PAID,4,DOUBLE PANE,1976,2018
5133,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,15,YES,Surface Parking,YES,AKELIUS CANADA LTD,PRIVATE,4364249,NO,YES,NO,9  STAG HILL DR ,YES,UNAVAILABLE,19,DOUBLE PANE,1953,2018
5134,NONE,,NO,NO, indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,,0,0,3,26,YES,,YES,FIRST PROPERTY MANAGEMENT,PRIVATE,4408585,NO,YES,NO,130  MACPHERSON AVE ,NO,UNAVAILABLE,11,SINGLE PANE,1948,2018
5135,NONE,,NO,NO,1 indoor parking spots and 6 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,,0,3,16,NO,,NO,,PRIVATE,4288175,NO,YES,NO,2861-2863  DUNDAS ST W,NO,UNAVAILABLE,4,DOUBLE PANE,1960,2018
5136,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,,YES,NO,0,0,0,3,12,,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4316599,NO,NO,NO,993  O'CONNOR DR ,NO,UNAVAILABLE,19,DOUBLE PANE,1951,2018
5137,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,18,YES,Surface Parking,YES,,PRIVATE,4253819,NO,YES,NO,841  MILLWOOD RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1960,2017
5138,NONE,,NO,NO,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,1,0,3,13,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4285401,NO,NO,NO,6  FOLCROFT AVE ,NO,FREE,20,DOUBLE PANE,1952,2018
5139,NONE,Outdoor rec facilities,NO,NO,50 indoor parking spots and 18 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,0,4,15,NO,"Ground Level Garage , Surface Parking",YES,GREENWIN INC.,PRIVATE,4317586,NO,YES,NO,3015  QUEEN ST E,NO,UNAVAILABLE,20,DOUBLE PANE,1954,2018
5140,NONE,Outdoor rec facilities,NO,NO,50 indoor parking spots and 18 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,0,4,15,NO,"Ground Level Garage , Surface Parking",YES,GREENWIN INC.,PRIVATE,4317588,NO,YES,NO,3015 A  QUEEN ST E,NO,UNAVAILABLE,20,DOUBLE PANE,1954,2018
5141,NONE,Outdoor rec facilities,NO,NO,50 indoor parking spots and 18 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,0,4,15,NO,"Ground Level Garage , Surface Parking",YES,GREENWIN INC.,PRIVATE,4317589,NO,YES,NO,3015 F  QUEEN ST E,NO,UNAVAILABLE,20,DOUBLE PANE,1954,2018
5142,NONE,Outdoor rec facilities,NO,NO,50 indoor parking spots and 18 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,0,4,15,NO,"Ground Level Garage , Surface Parking",YES,GREENWIN INC.,PRIVATE,4317590,NO,YES,NO,3017  QUEEN ST E,NO,UNAVAILABLE,20,DOUBLE PANE,1954,2018
5143,NONE,Outdoor pool,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,2,10,90,YES,"Underground Garage , Ground Level Garage , Surface Parking , Parking Deck",YES,PRINCESS MANAGEMENT,PRIVATE,4232595,NO,YES,NO,1139  ROYAL YORK RD ,YES,FREE,2,SINGLE PANE,1963,2017
5144,NONE,Outdoor pool,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,2,10,91,YES,"Underground Garage , Ground Level Garage , Surface Parking , Parking Deck",YES,PRINCESS MANAGEMENT,PRIVATE,4232598,NO,YES,NO,1141  ROYAL YORK RD ,YES,FREE,2,SINGLE PANE,1963,2017
5145,CENTRAL AIR,Indoor exercise room,YES,YES,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,NO,NO,0,2,2,7,95,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4232788,NO,YES,NO,106  PARKWAY FOREST DR ,YES,FREE,17,DOUBLE PANE,2015,2017
5146,NONE,,YES,NO,5 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,0,4,32,NO,"Underground Garage , Garage accessible thru buildg",YES,DAVIS PROPERTY MANAGEMENT,PRIVATE,4296588,NO,YES,NO,701  EGLINTON AVE W,YES,UNAVAILABLE,12,DOUBLE PANE,1950,2018
5147,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Child play area , Sauna",NO,YES,0 indoor parking spots and 24 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,0,3,3,19,247,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4233286,NO,NO,NO,25  THUNDER GRV ,YES,FREE,23,DOUBLE PANE,1982,2017
5148,NONE,"Outdoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,3,2,18,128,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,VERTICA RESIDENT SERVICES,PRIVATE,4263115,NO,YES,NO,644  SHEPPARD AVE E,YES,FREE,17,DOUBLE PANE,1970,2017
5149,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,1,1,2,14,215,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,TCH,TCHC,4285956,NO,NO,NO,121  HUMBER BLVD ,YES,PAID,5,DOUBLE PANE,1968,2017
5150,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,1,2,7,83,YES,"Underground Garage , Garage accessible thru buildg",NO,TCH,TCHC,4286235,NO,NO,NO,8  BROADWAY AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1993,2017
5151,NONE,Indoor recreation room,NO,YES,0 indoor parking spots and 8 outdoor parking spots,NO,Unknown,YES,NO,HOT WATER,YES,NO,YES,YES,NO,1,0,2,8,128,YES,Surface Parking,YES,,TCHC,4286254,NO,NO,NO,585  KING ST E,YES,BOTH,13,THERMAL,2014,2017
5152,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,1,2,12,54,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,TCH,TCHC,4286259,NO,NO,NO,127  ST PATRICK ST ,YES,PAID,10,DOUBLE PANE,1980,2017
5153,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,1,1,6,22,YES,Surface Parking,NO,TCH,TCHC,4286276,NO,NO,NO,51  GILDER DR ,YES,BOTH,21,DOUBLE PANE,1980,2017
5154,NONE,"Indoor recreation room , Outdoor rec facilities",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,66,4,2,3,63,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,SOCIAL HOUSING,4226941,NO,NO,NO,781  THE QUEENSWAY  ,YES,FREE,3,DOUBLE PANE,1993,2017
5155,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,0,3,11,NO,"Ground Level Garage , Surface Parking",YES,KG GROUP,PRIVATE,4261712,NO,YES,NO,2  OAKBURN CRES ,NO,FREE,18,DOUBLE PANE,1945,2017
5156,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,4,2,9,128,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4244521,NO,YES,NO,255  MAIN ST ,YES,PAID,19,DOUBLE PANE,1969,2017
5157,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,1,4,10,331,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MINTO PROPERTIES INC,PRIVATE,4244530,NO,NO,NO,35  ST DENNIS DR ,YES,FREE,16,DOUBLE PANE,1962,2017
5158,INDIVIDUAL UNITS,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,32,NO,Ground Level Garage,YES,,PRIVATE,4250612,NO,NO,NO,1539  BATHURST ST ,NO,UNAVAILABLE,12,SINGLE PANE,1943,2017
5159,NONE,Indoor exercise room,YES,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,2,13,152,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,AKELIUS CANADA LTD.,PRIVATE,4250636,NO,YES,NO,111  LAWTON BLVD ,YES,UNAVAILABLE,12,DOUBLE PANE,1957,2019
5160,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,202,16,3,18,202,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CANDO APARTMENTS LTD.,PRIVATE,4231973,NO,YES,NO,1  CANYON AVE ,YES,PAID,6,DOUBLE PANE,1960,2017
5161,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,11,NO,"Ground Level Garage , Surface Parking",YES,DMS PROPERTIES MANAGEMENT LTD.,PRIVATE,4329042,NO,YES,NO,22  ROSSEAU RD ,NO,UNAVAILABLE,6,DOUBLE PANE,1949,2018
5162,CENTRAL AIR,,NO,YES,10 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0,2,2,6,75,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,4255546,NO,YES,YES,1407  DUPONT ST ,YES,FREE,9,DOUBLE PANE,2008,2017
5163,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,29,0,1,4,29,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4255639,NO,YES,NO,3892  BATHURST ST ,YES,FREE,6,DOUBLE PANE,1958,2017
5164,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,13,NO,"Carport , Surface Parking",YES,,PRIVATE,4281930,NO,YES,NO,8  BEXHILL CRT ,NO,PAID,2,DOUBLE PANE,1952,2017
5165,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,13,,,,,PRIVATE,4326893,,,,1135  O'CONNOR DR ,,,19,DOUBLE PANE,1951,
5166,CENTRAL AIR,Indoor recreation room,YES,YES,30 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,NO,3,0,1,5,60,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4288772,NO,YES,NO,55  PAPE AVE ,YES,FREE,14,DOUBLE PANE,1996,2017
5167,NONE,Outdoor pool,YES,YES,0 indoor parking spots and 7 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,117,1,2,21,117,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4168793,NO,YES,NO,25  CANYON AVE ,YES,FREE,6,DOUBLE PANE,1962,2017
